No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes
1	63	79	N	0	0	0		0	0	0	
2	63	80	N	0	0	0		0	0	0	
3	66	82	N	0	0	0		0	0	0	
4	63	80	N	0	0	0		0	0	0	
5	63	77	N	0	0	0		0	0	0	
6	63	78	N	0	0	0		0	0	0	
7	66	80	N	0	0	0		0	0	0	
8	64	78	N	0	0	0		0	0	0	
9	66	79	N	0	0	0		0	0	0	
10	66	79	N	0	0	0		0	0	0	
11	64	82	N	0	0	0		0	0	0	
12	63	79	N	0	0	0		0	0	0	
13	65	82	N	0	0	0		0	0	0	
14	63	79	N	0	0	0		0	0	0	
15	65	81	N	0	0	0		0	0	0	
16	65	78	N	0	0	0		0	0	0	
17	65	77	N	0	0	0		0	0	0	
18	64	81	N	0	0	0		0	0	0	
19	63	78	N	0	0	0		0	0	0	
20	63	81	N	0	0	0		0	0	0	
21	63	77	N	0	0	0		0	0	0	
22	63	77	N	0	0	0		0	0	0	
23	63	79	N	0	0	0		0	0	0	
24	66	81	N	0	0	0		0	0	0	
25	64	81	N	0	0	0		0	0	0	
26	65	80	N	0	0	0		0	0	0	
27	66	80	N	0	0	0		0	0	0	
28	66	79	N	0	0	0		0	0	0	
29	64	80	N	0	0	0		0	0	0	
30	65	79	N	0	0	0		0	0	0	
31	66	80	N	0	0	0		0	0	0	
32	64	77	N	0	0	0		0	0	0	
33	66	78	N	0	0	0		0	0	0	
34	65	78	N	0	0	0		0	0	0	
35	66	78	N	0	0	0		0	0	0	
36	66	79	N	0	0	0		0	0	0	
37	64	78	N	0	0	0		0	0	0	
38	65	82	N	0	0	0		0	0	0	
39	63	81	N	0	0	0		0	0	0	
40	64	78	N	0	0	0		0	0	0	
