No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes
1	347	87	N	0	0	0		0	0	0	
2	347	87	N	0	0	0		0	0	0	
3	347	87	N	0	0	0		0	0	0	
4	347	87	N	0	0	0		0	0	0	
5	347	87	N	0	0	0		0	0	0	
6	347	87	N	0	0	0		0	0	0	
7	347	87	N	0	0	0		0	0	0	
8	350	81	N	0	0	0		0	0	0	
9	350	81	N	0	0	0		0	0	0	
10	350	81	N	0	0	0		0	0	0	
11	350	81	N	0	0	0		0	0	0	
12	350	81	N	0	0	0		0	0	0	
13	350	81	N	0	0	0		0	0	0	
14	350	81	N	0	0	0		0	0	0	
15	350	81	N	0	0	0		0	0	0	
16	350	81	N	0	0	0		0	0	0	
17	358	75	N	0	0	0		0	0	0	
18	358	75	N	0	0	0		0	0	0	
