No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes
1	292	60	N	0	0	0	0				
2	292	60	N	0	0	0	0				
3	292	60	N	0	0	0	0				
4	292	60	N	0	0	0	0				
5	292	60	N	0	0	0	0				
6	292	60	N	0	0	0	0				
7	292	60	N	0	0	0	0				
8	311	66	N	0	0	0	0				
9	311	66	N	0	0	0	0				
10	311	66	N	0	0	0	0				
11	311	66	N	0	0	0	0				
12	282	69	N	0	0	0	0				
13	282	69	N	0	0	0	0				
14	282	69	N	0	0	0	0				
15	282	69	N	0	0	0	0				
16	288	74	N	0	0	0	0				
17	288	74	N	0	0	0	0				
18	288	74	N	0	0	0	0				
19	288	74	N	0	0	0	0				
20	288	74	N	0	0	0	0				
21	288	74	N	0	0	0	0				
22	288	74	N	0	0	0	0				
23	288	74	N	0	0	0	0				
24	288	74	N	0	0	0	0				
25	288	74	N	0	0	0	0				
